t,success,mid,pmt,pg,sub_type,hr,bank
3,0,medlife_prod,CARD,TPSL,,2020-02-14 08,THE KARNATAKA STATE COOPERATIVE APEX BANK LTD AS I
1,0,countrydelight,CARD,PAYU,,2020-02-14 06,SOUTHCAROLINAF.C.U.
2,1,purplle.com,CARD,PAYTM,,2020-02-14 20,Mudra Bank
1,0,fanfight,NB,RAZORPAY,,2020-02-14 16,NB_UCOB
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,United Bank of India
2,2,fanfight,CARD,GOCASHFREE,,2020-02-14 15,Karur Vysya Bank
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 18,Karur Vysya Bank
1,0,countrydelight,NB,PAYTM,,2020-02-14 13,NB_DBS
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 19,Saraswat Bank
1,0,zivame,CARD,HDFC,,2020-02-14 14,Karur Vysya Bank
2,1,purplle.com,CARD,PAYTM,,2020-02-14 15,THE PALAKKAD DISTRICT COOPERATIVE BANK LTD
1,1,pharmeasytech,NB,PAYU,,2020-02-14 18,NB_FED
1,0,urbanclap,CARD,PAYTM,,2020-02-14 18,ADCB
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 14,PAYZAPP
1,1,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_ANDHRA
2,0,countrydelight,NB,PAYU,,2020-02-13 00,NB_AIRTEL
1,1,pharmeasytech,NB,RAZORPAY,,2020-02-13 12,NB_ALLB
1,0,drivezy,NB,GOCASHFREE,,2020-02-13 04,NB_UNIB
1,1,countrydelight,CARD,PAYU,,2020-02-13 00,THANE JANATA SAHAKARI BANK LTD
1,1,pharmeasytech,CARD,PAYU,,2020-02-13 08,IDFC Bank
1,1,zivame,CARD,PAYU,,2020-02-13 13,THE NAINITAL BANK LTD
3,3,pharmeasytech,CARD,PAYU,,2020-02-13 04,Abhyudaya Cooperative Bank
1,1,zivame,CARD,PAYU,,2020-02-13 08,Bandhan Bank
3,0,purplle.com,WALLET,,,2020-02-13 08,UNDEFINED
1,1,urbanclap,NB,PAYTM,,2020-02-13 05,NB_INDB
1,0,pharmeasytech,CARD,PAYU,,2020-02-13 09,POCAVALLEYBANK.INC.
2,0,fanfight,NB,PAYTM,,2020-02-13 00,NB_IDFC
1,1,urbanclap,CARD,PAYTM,,2020-02-13 01,BCCARDCO..LTD.
1,0,fanfight,NB,RAZORPAY,,2020-02-13 03,NB_OBC
1,0,fanfight,NB,RAZORPAY,,2020-02-13 01,NB_BOBCORP
2,0,drivezy,NB,GOCASHFREE,,2020-02-13 10,NB_BOM
5,1,drivezy,CARD,GOCASHFREE,,2020-02-13 05,Kotak Bank
3,2,fanfight,CARD,GOCASHFREE,,2020-02-13 13,SHIVAJI NAGARI SAHAKARI BANK LTD
1,1,pharmeasytech,CARD,PAYU,,2020-02-13 13,THE KODAGU DISTRICT COOP CENTRAL BANK LTD
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-13 05,PAYZAPP
2,2,urbanclap,NB,PAYTM,,2020-02-13 09,NB_INDB
1,0,fanfight,NB,RAZORPAY,,2020-02-13 10,NB_DENA
2,0,countrydelight,CARD,PAYU,,2020-02-13 16,MONEYACCESSSERVICE.INC.
2,1,urbanclap,NB,PAYTM,,2020-02-13 14,NB_RBL
2,0,countrydelight,CARD,PAYU,,2020-02-13 17,MONEYACCESSSERVICE.INC.
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 16,NB_BOBCORP
3,2,purplle.com,CARD,PAYTM,,2020-02-13 18,Punjab and Sind Bank
1,0,pharmeasytech,NB,PAYU,,2020-02-13 15,NB_INDUS
1,0,medlife_prod,NB,RAZORPAY,,2020-02-13 17,NB_UCOB
1,0,fanfight,NB,RAZORPAY,,2020-02-13 15,NB_SBP
1,0,zivame,NB,PAYU,,2020-02-13 19,NB_INDB
1,1,urbanclap,NB,PAYTM,,2020-02-14 04,NB_KARN
1,0,countrydelight,NB,PAYU,,2020-02-14 07,NB_IOB
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_SARASB
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 10,MONEYACCESSSERVICE.INC.
2,2,purplle.com,CARD,PAYTM,,2020-02-14 06,SOUTHCAROLINAF.C.U.
1,1,purplle.com,NB,PAYU,,2020-02-14 11,NB_INDB
2,1,countrydelight,NB,PAYU,,2020-02-14 05,NB_CITI
6,3,medlife_prod,CARD,TPSL,,2020-02-14 07,South Indian Bank
1,0,pharmeasytech,NB,RAZORPAY,,2020-02-14 07,NB_SCB
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 04,THE GREATER BOMBAY COOP BANK LTD
1,1,urbanclap,CARD,PAYTM,,2020-02-14 04,MONEYACCESSSERVICE.INC.
1,0,fanfight,NB,RAZORPAY,,2020-02-14 08,NB_ALLB
2,0,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_SYNB
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 06,NB_ANDHRA
1,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_PNBCORP
1,1,zivame,CARD,PAYU,,2020-02-14 14,Bandhan Bank
1,0,purplle.com,NB,PAYU,,2020-02-14 16,NB_FED
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 14,NB_SCB
2,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_ALLB
1,1,purplle.com,CARD,PAYTM,,2020-02-14 15,South Indian Bank
1,0,purplle.com,NB,PAYU,,2020-02-14 18,NB_PNJSB
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 16,THE ADARSH COOP URBAN BANK LTD
4,0,fanfight,NB,RAZORPAY,,2020-02-12 07,NB_ALLB
1,1,fanfight,CARD,GOCASHFREE,,2020-02-12 02,ANDHRA PRADESH GRAMEENA VIKAS BANK
3,0,fanfight,NB,RAZORPAY,,2020-02-12 03,NB_CBI
1,1,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_OBC
2,2,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_IOB
1,0,pharmeasytech,NB,PAYTM,,2020-02-12 06,NB_CBI
1,1,purplle.com,CARD,PAYTM,,2020-02-12 06,Punjab and Sind Bank
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_KVB
1,1,fanfight,NB,PAYTM,,2020-02-12 03,NB_IDFC
1,1,pharmeasytech,CARD,PAYU,,2020-02-12 03,SOUTHCAROLINAF.C.U.
2,0,fanfight,NB,RAZORPAY,,2020-02-12 01,NB_UNIB
1,0,purplle.com,NB,PAYTM,,2020-02-12 04,NB_BHARAT
3,3,medlife_prod,NB,RAZORPAY,,2020-02-12 12,NB_SCB
2,0,urbanclap,NB,PAYTM,,2020-02-12 07,NB_FED
2,0,urbanclap,NB,PAYTM,,2020-02-12 12,NB_IDFC
1,1,countrydelight,CARD,PAYU,,2020-02-12 06,DCB
1,1,medlife_prod,CARD,TPSL,,2020-02-12 10,ZILA SAHKARI BANK LTD MEERUT
1,0,countrydelight,CARD,PAYU,,2020-02-12 10,IDFC Bank
1,1,urbanclap,CARD,PAYTM,,2020-02-12 11,SOUTHCAROLINAF.C.U.
2,1,pharmeasytech,NB,PAYU,,2020-02-12 13,NB_INDB
1,0,urbanclap,CARD,PAYTM,,2020-02-12 03,Chase Bank
1,0,urbanclap,NB,PAYTM,,2020-02-12 05,NB_INDB
2,0,medlife_prod,NB,RAZORPAY,,2020-02-12 02,NB_INDB
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 05,NB_ANDHRA
1,1,medlife_prod,CARD,TPSL,,2020-02-12 08,MONEYACCESSSERVICE.INC.
2,0,purplle.com,NB,PAYU,,2020-02-12 10,NB_KARN
1,1,zivame,CARD,PAYU,,2020-02-12 15,Tamilnad Mercantile Bank
1,0,drivezy,NB,GOCASHFREE,,2020-02-12 16,NB_FED
1,1,urbanclap,CARD,PAYTM,,2020-02-12 16,South Indian Bank
2,1,medlife_prod,CARD,TPSL,,2020-02-12 15,IDFC Bank
1,1,countrydelight,CARD,PAYU,,2020-02-12 15,Thanjavur Central Coop Bank
2,1,drivezy,CARD,GOCASHFREE,,2020-02-12 18,South Indian Bank
3,0,fanfight,NB,RAZORPAY,,2020-02-12 14,NB_ANDHRA
1,1,medlife_prod,CARD,TPSL,,2020-02-12 16,Airtel Payments Bank
4,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 15,PAYZAPP
1,0,purplle.com,NB,PAYTM,,2020-02-12 19,NB_IDFC
1,1,medlife_prod,NB,RAZORPAY,,2020-02-12 13,NB_FED
1,1,zivame,CARD,PAYU,,2020-02-12 10,SARVA HARYANA GRAMIN BANK
1,1,medlife_prod,CARD,TPSL,,2020-02-12 13,Mudra Bank
2,0,countrydelight,NB,PAYU,,2020-02-12 02,NB_AIRTEL
2,2,fanfight,CARD,RAZORPAY,,2020-02-12 12,Kotak Bank
3,2,medlife_prod,CARD,TPSL,,2020-02-12 02,The Catholic Syrian Bank
3,2,fanfight,CARD,RAZORPAY,,2020-02-12 12,Airtel Payments Bank
2,1,pharmeasytech,NB,PAYU,,2020-02-12 06,NB_CORP
1,1,pharmeasytech,CARD,PAYU,,2020-02-12 03,THE AKOLA DISTRICT CENTRAL COOP BANK LTD
1,0,urbanclap,NB,PAYTM,,2020-02-12 00,NB_OBC
1,1,medlife_prod,CARD,TPSL,,2020-02-12 10,IDFC Bank
1,0,urbanclap,NB,PAYTM,,2020-02-12 12,NB_INDUS
2,2,pharmeasytech,CARD,PAYU,,2020-02-12 09,Mudra Bank
3,0,urbanclap,CARD,PAYTM,,2020-02-12 07,Kotak Bank
2,2,fanfight,CARD,RAZORPAY,,2020-02-12 02,Mudra Bank
4,2,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 09,JIOMONEY
2,2,pharmeasytech,CARD,PAYU,,2020-02-12 02,Mudra Bank
1,0,pharmeasytech,UPI,,UPI_COLLECT,2020-02-12 09,Zeta
1,1,pharmeasytech,CARD,PAYU,,2020-02-12 04,The Bharat Cooperative Bank
2,1,medlife_prod,NB,RAZORPAY,,2020-02-12 06,NB_SARASB
3,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 07,AIRTELMONEY
3,0,fanfight,NB,RAZORPAY,,2020-02-12 08,NB_CUB
2,0,fanfight,NB,RAZORPAY,,2020-02-12 08,NB_ALLB
1,0,zivame,CARD,HDFC,,2020-02-12 05,OPERATINGENGINEERSLOCAL#3F.C.U.
1,0,fanfight,NB,RAZORPAY,,2020-02-12 09,NB_IOB
3,0,fanfight,NB,RAZORPAY,,2020-02-12 15,NB_OBC
2,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-12 18,EPAYLATER
1,1,fanfight,CARD,RAZORPAY,,2020-02-12 14,COMMUNITYBANK
